code_du_departement,nom_departement,code_du_canton,libelle_du_canton,annee,inscrits,abstentions,pourcentage_abstention_inscrit,votants,pourcentage_votant_inscrit,blancs_et_nuls,pourcentage_blanc_nuls_inscrit,pourcentage_blanc_nuls_votant,exprimes,pourcentage_exprimes_inscrits,pourcentage_exprimes_votants,sexe,nom,prenom,voix,pourcentage_voix_inscrits,pourcentage_voix_exprimes,sexe_2,nom_2,prenom_2,voix_2,pourcentage_voix_inscrits_2,pourcentage_voix_exprimes_2
93,SEINE SAINT-DENIS,8,BONDY-SUD-EST,2002,10224,2145,20.98,8079,79.02,390,3.81,4.83,7689,75.21,95.17,M,CHIRAC,JACQUES,6247,61.1,81.25,M,LE PEN,JEAN-MARIE,1442,14.1,18.75
93,SEINE SAINT-DENIS,9,LE BOURGET,2002,23669,5702,24.09,17967,75.91,770,3.25,4.29,17197,72.66,95.71,M,CHIRAC,JACQUES,13672,57.76,79.5,M,LE PEN,JEAN-MARIE,3525,14.89,20.5
93,SEINE SAINT-DENIS,10,LA COURNEUVE,2002,12318,3184,25.85,9134,74.15,334,2.71,3.66,8800,71.44,96.34,M,CHIRAC,JACQUES,7284,59.13,82.77,M,LE PEN,JEAN-MARIE,1516,12.31,17.23
93,SEINE SAINT-DENIS,11,DRANCY,2002,16585,4102,24.73,12483,75.27,548,3.3,4.39,11935,71.96,95.61,M,CHIRAC,JACQUES,9483,57.18,79.46,M,LE PEN,JEAN-MARIE,2452,14.78,20.54
93,SEINE SAINT-DENIS,12,EPINAY-SUR-SEINE,2002,20436,5185,25.37,15251,74.63,546,2.67,3.58,14705,71.96,96.42,M,CHIRAC,JACQUES,12293,60.15,83.6,M,LE PEN,JEAN-MARIE,2412,11.8,16.4
93,SEINE SAINT-DENIS,13,GAGNY,2002,20854,4522,21.68,16332,78.32,760,3.64,4.65,15572,74.67,95.35,M,CHIRAC,JACQUES,12865,61.69,82.62,M,LE PEN,JEAN-MARIE,2707,12.98,17.38
93,SEINE SAINT-DENIS,14,LIVRY-GARGAN,2002,22087,4580,20.74,17507,79.26,792,3.59,4.52,16715,75.68,95.48,M,CHIRAC,JACQUES,13216,59.84,79.07,M,LE PEN,JEAN-MARIE,3499,15.84,20.93
93,SEINE SAINT-DENIS,15,MONTFERMEIL,2002,17124,3682,21.5,13442,78.5,587,3.43,4.37,12855,75.07,95.63,M,CHIRAC,JACQUES,10039,58.63,78.09,M,LE PEN,JEAN-MARIE,2816,16.44,21.91
93,SEINE SAINT-DENIS,16,MONTREUIL-EST,2002,15394,4114,26.72,11280,73.28,473,03.07,4.19,10807,70.2,95.81,M,CHIRAC,JACQUES,9126,59.28,84.45,M,LE PEN,JEAN-MARIE,1681,10.92,15.55
93,SEINE SAINT-DENIS,17,MONTREUIL-OUEST,2002,13876,3262,23.51,10614,76.49,370,2.67,3.49,10244,73.83,96.51,M,CHIRAC,JACQUES,9155,65.98,89.37,M,LE PEN,JEAN-MARIE,1089,7.85,10.63
93,SEINE SAINT-DENIS,18,NEUILLY-PLAISANCE,2002,10852,1941,17.89,8911,82.11,311,2.87,3.49,8600,79.25,96.51,M,CHIRAC,JACQUES,7285,67.13,84.71,M,LE PEN,JEAN-MARIE,1315,12.12,15.29
93,SEINE SAINT-DENIS,19,NOISY-LE-GRAND,2002,32462,6383,19.66,26079,80.34,1064,3.28,04.08,25015,77.06,95.92,M,CHIRAC,JACQUES,21408,65.95,85.58,M,LE PEN,JEAN-MARIE,3607,11.11,14.42
93,SEINE SAINT-DENIS,20,NOISY-LE-SEC,2002,16778,3859,23,12919,77,584,3.48,4.52,12335,73.52,95.48,M,CHIRAC,JACQUES,10193,60.75,82.63,M,LE PEN,JEAN-MARIE,2142,12.77,17.37
93,SEINE SAINT-DENIS,21,PANTIN-EST,2002,10707,2524,23.57,8183,76.43,344,3.21,4.2,7839,73.21,95.8,M,CHIRAC,JACQUES,6633,61.95,84.62,M,LE PEN,JEAN-MARIE,1206,11.26,15.38
93,SEINE SAINT-DENIS,22,LES-PAVILLONS-SOUS-BOIS,2002,10372,2240,21.6,8132,78.4,331,3.19,04.07,7801,75.21,95.93,M,CHIRAC,JACQUES,6341,61.14,81.28,M,LE PEN,JEAN-MARIE,1460,14.08,18.72
93,SEINE SAINT-DENIS,23,LES LILAS,2002,18718,3787,20.23,14931,79.77,548,2.93,3.67,14383,76.84,96.33,M,CHIRAC,JACQUES,12297,65.7,85.5,M,LE PEN,JEAN-MARIE,2086,11.14,14.5
93,SEINE SAINT-DENIS,24,LE RAINCY,2002,16609,3440,20.71,13169,79.29,436,2.63,3.31,12733,76.66,96.69,M,CHIRAC,JACQUES,10487,63.14,82.36,M,LE PEN,JEAN-MARIE,2246,13.52,17.64
93,SEINE SAINT-DENIS,25,ROMAINVILLE,2002,10991,2698,24.55,8293,75.45,346,3.15,4.17,7947,72.3,95.83,M,CHIRAC,JACQUES,6499,59.13,81.78,M,LE PEN,JEAN-MARIE,1448,13.17,18.22
93,SEINE SAINT-DENIS,26,ROSNY-SOUS-BOIS,2002,20325,4505,22.16,15820,77.84,672,3.31,4.25,15148,74.53,95.75,M,CHIRAC,JACQUES,12398,61,81.85,M,LE PEN,JEAN-MARIE,2750,13.53,18.15
93,SEINE SAINT-DENIS,27,SAINT-DENIS-NORD-EST,2002,19001,5210,27.42,13791,72.58,578,03.04,4.19,13213,69.54,95.81,M,CHIRAC,JACQUES,11197,58.93,84.74,M,LE PEN,JEAN-MARIE,2016,10.61,15.26
93,SEINE SAINT-DENIS,28,SAINT-DENIS-NORD-OUEST,2002,10842,2839,26.19,8003,73.81,335,03.09,4.19,7668,70.72,95.81,M,CHIRAC,JACQUES,6478,59.75,84.48,M,LE PEN,JEAN-MARIE,1190,10.98,15.52
