code_du_departement,nom_departement,code_du_canton,libelle_du_canton,annee,inscrits,abstentions,pourcentage_abstention_inscrit,votants,pourcentage_votant_inscrit,blancs-et-nuls,% BlNuls/Ins,% BlNuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,sexe,nom,prenom,voix,pourcentage_voix_inscrits,pourcentage_voix_exprimes,sexe,nom,prenom,voix,pourcentage_voix_inscrits,pourcentage_voix_exprimes
92,HAUTS DE SEINE,31,NEUILLY-SUR-SEINE-SUD,2012,16554,1965,11.87,14589,88.13,287,1.73,1.97,14302,86.4,98.03,M,HOLLANDE,François,2257,13.63,15.78,M,SARKOZY,Nicolas,12045,72.76,84.22
92,HAUTS DE SEINE,32,LE-PLESSIS-ROBINSON,2012,30740,5343,17.38,25397,82.62,1214,3.95,4.78,24183,78.67,95.22,M,HOLLANDE,François,12593,40.97,52.07,M,SARKOZY,Nicolas,11590,37.7,47.93
92,HAUTS DE SEINE,33,PUTEAUX,2012,28241,4967,17.59,23274,82.41,1020,3.61,4.38,22254,78.8,95.62,M,HOLLANDE,François,10474,37.09,47.07,M,SARKOZY,Nicolas,11780,41.71,52.93
92,HAUTS DE SEINE,34,RUEIL-MALMAISON,2012,35542,5692,16.01,29850,83.99,1216,3.42,4.07,28634,80.56,95.93,M,HOLLANDE,François,12759,35.9,44.56,M,SARKOZY,Nicolas,15875,44.67,55.44
92,HAUTS DE SEINE,35,SAINT-CLOUD,2012,19006,2699,14.2,16307,85.8,527,2.77,3.23,15780,83.03,96.77,M,HOLLANDE,François,4748,24.98,30.09,M,SARKOZY,Nicolas,11032,58.04,69.91
92,HAUTS DE SEINE,36,SCEAUX,2012,16445,2535,15.42,13910,84.58,484,2.94,3.48,13426,81.64,96.52,M,HOLLANDE,François,6409,38.97,47.74,M,SARKOZY,Nicolas,7017,42.67,52.26
92,HAUTS DE SEINE,37,SEVRES,2012,14855,2358,15.87,12497,84.13,522,3.51,4.18,11975,80.61,95.82,M,HOLLANDE,François,5769,38.84,48.18,M,SARKOZY,Nicolas,6206,41.78,51.82
92,HAUTS DE SEINE,38,SURESNES,2012,26469,4257,16.08,22212,83.92,935,3.53,4.21,21277,80.38,95.79,M,HOLLANDE,François,10048,37.96,47.22,M,SARKOZY,Nicolas,11229,42.42,52.78
92,HAUTS DE SEINE,39,VANVES,2012,17516,2584,14.75,14932,85.25,567,3.24,3.8,14365,82.01,96.2,M,HOLLANDE,François,8107,46.28,56.44,M,SARKOZY,Nicolas,6258,35.73,43.56
92,HAUTS DE SEINE,40,VILLENEUVE-LA-GARENNE,2012,12332,3034,24.6,9298,75.4,486,3.94,5.23,8812,71.46,94.77,M,HOLLANDE,François,5914,47.96,67.11,M,SARKOZY,Nicolas,2898,23.5,32.89
92,HAUTS DE SEINE,41,CHÂTENAY-MALABRY,2012,15828,2549,16.1,13279,83.9,676,4.27,5.09,12603,79.62,94.91,M,HOLLANDE,François,7471,47.2,59.28,M,SARKOZY,Nicolas,5132,32.42,40.72
92,HAUTS DE SEINE,42,COLOMBES-NORD-EST,2012,12842,2772,21.59,10070,78.41,440,3.43,4.37,9630,74.99,95.63,M,HOLLANDE,François,6540,50.93,67.91,M,SARKOZY,Nicolas,3090,24.06,32.09
92,HAUTS DE SEINE,43,FONTENAY-AUX-ROSES,2012,15234,2790,18.31,12444,81.69,510,3.35,4.1,11934,78.34,95.9,M,HOLLANDE,François,6985,45.85,58.53,M,SARKOZY,Nicolas,4949,32.49,41.47
92,HAUTS DE SEINE,44,GENNEVILLIERS-SUD,2012,10076,2372,23.54,7704,76.46,357,3.54,4.63,7347,72.92,95.37,M,HOLLANDE,François,5740,56.97,78.13,M,SARKOZY,Nicolas,1607,15.95,21.87
92,HAUTS DE SEINE,45,NANTERRE-SUD-OUEST,2012,17014,3230,18.98,13784,81.02,627,3.69,4.55,13157,77.33,95.45,M,HOLLANDE,François,8427,49.53,64.05,M,SARKOZY,Nicolas,4730,27.8,35.95
93,SEINE SAINT-DENIS,1,AUBERVILLIERS-EST,2012,15764,4326,27.44,11438,72.56,496,3.15,4.34,10942,69.41,95.66,M,HOLLANDE,François,8072,51.21,73.77,M,SARKOZY,Nicolas,2870,18.21,26.23
93,SEINE SAINT-DENIS,2,AUBERVILLIERS-OUEST,2012,10431,2886,27.67,7545,72.33,310,2.97,4.11,7235,69.36,95.89,M,HOLLANDE,François,5166,49.53,71.4,M,SARKOZY,Nicolas,2069,19.84,28.6
93,SEINE SAINT-DENIS,3,AULNAY-SOUS-BOIS-NORD,2012,26899,6816,25.34,20083,74.66,816,3.03,4.06,19267,71.63,95.94,M,HOLLANDE,François,13602,50.57,70.6,M,SARKOZY,Nicolas,5665,21.06,29.4
93,SEINE SAINT-DENIS,4,AULNAY-SOUS-BOIS-SUD,2012,16273,3383,20.79,12890,79.21,604,3.71,4.69,12286,75.5,95.31,M,HOLLANDE,François,6182,37.99,50.32,M,SARKOZY,Nicolas,6104,37.51,49.68
93,SEINE SAINT-DENIS,5,BAGNOLET,2012,17309,4243,24.51,13066,75.49,567,3.28,4.34,12499,72.21,95.66,M,HOLLANDE,François,9045,52.26,72.37,M,SARKOZY,Nicolas,3454,19.95,27.63
